date,debit_total_m3_s,volume_total_m3,volume_total_millions_m3,Seine_m3_s,Loire_m3_s,Rhone_m3_s,Garonne_m3_s,Dordogne_m3_s
2026-08-23,1056.13,91249631.0,91.25,110.395,102.635,621.153,180.706,41.241
2026-08-24,1050.263,90742723.0,90.743,115.187,102.856,663.197,127.21,41.813
2026-08-27,1267.595,109520209.0,109.52,148.853,115.329,815.167,136.679,51.567
2026-08-28,1372.753,118605858.0,118.606,229.886,123.185,850.891,118.06,50.731
2026-08-30,1160.598,100275668.0,100.276,152.792,125.349,735.306,99.239,47.912
2026-08-31,1009.916,87256743.0,87.257,143.797,123.02,624.104,73.299,45.696
2026-09-01,998.64,86282495.0,86.282,144.573,123.011,616.256,70.732,44.068
2026-09-02,1025.609,88612618.0,88.613,129.696,123.894,641.494,88.375,42.15
2026-09-03,991.119,85632682.0,85.633,125.738,122.6,602.397,97.379,43.005
2026-09-05,935.427,80820894.0,80.821,124.865,122.235,539.999,107.444,40.884
2026-09-06,907.224,78384153.0,78.384,128.565,119.739,527.911,89.543,41.466
2026-09-07,978.717,84561149.0,84.561,123.268,116.305,608.201,88.139,42.804
2026-09-08,967.641,83604182.0,83.604,133.223,113.47,569.509,107.253,44.186
2026-09-09,996.534,86100537.0,86.101,131.691,110.78,607.526,101.234,45.303
2026-09-10,973.379,84099946.0,84.1,120.084,108.874,587.666,103.032,53.723
